"species","candidate_1_path","candidate_2_path","candidate_3_path","candidate_4_path","candidate_5_path","candidate_6_path","candidate_7_path","candidate_1_confidence","candidate_1_kind","candidate_1_locator","candidate_1_resolution_px","candidate_1_use","candidate_1_association_basis","candidate_1_inspection_reference","candidate_1_sha256","candidate_2_confidence","candidate_2_kind","candidate_2_locator","candidate_2_resolution_px","candidate_2_use","candidate_2_association_basis","candidate_2_inspection_reference","candidate_2_sha256","candidate_3_confidence","candidate_3_kind","candidate_3_locator","candidate_3_resolution_px","candidate_3_use","candidate_3_association_basis","candidate_3_inspection_reference","candidate_3_sha256","candidate_4_confidence","candidate_4_kind","candidate_4_locator","candidate_4_resolution_px","candidate_4_use","candidate_4_association_basis","candidate_4_inspection_reference","candidate_4_sha256","candidate_5_confidence","candidate_5_kind","candidate_5_locator","candidate_5_resolution_px","candidate_5_use","candidate_5_association_basis","candidate_5_inspection_reference","candidate_5_sha256","candidate_6_confidence","candidate_6_kind","candidate_6_locator","candidate_6_resolution_px","candidate_6_use","candidate_6_association_basis","candidate_6_inspection_reference","candidate_6_sha256","candidate_7_confidence","candidate_7_kind","candidate_7_locator","candidate_7_resolution_px","candidate_7_use","candidate_7_association_basis","candidate_7_inspection_reference","candidate_7_sha256","current_gallery_entries","current_plant_photographs","current_maps","outcome","review_notes","account_id","source_collection_count","source_quality_recovery_path","source_quality_recovery_locator"
"Acacia helicophylla","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/D. PLANT DESCRIPTIONS GENERA A-Z/AA/Acacia helicophylla (use 2022 fruit shot)/PICK/1. Acacia helicophylla.145.a.JPG","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","","A","loose photograph","","3058x2293","gallery option","Species named in the filename.","E011-02","b6c050c7ccdbf73d32f32544083e9354f7a963410f7a3f12ef519b8229d7f761","A","book image","PDF page 89; printed page 88; page-object index 1 (zero-based)","566x574","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p89-o1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Supported loose additions","A fuller flowering stem and the book's pod inset are possible additions; several loose files are crops of the existing view.","plant-423f1811d764afd1","7","",""
"Acacia hemignosta","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/WILLIE BURGESS Plants of the nt photos/Fabaceae Acacia Erythrina Jacksonia Albizia Bossiaea Caseapinia Cathormion Erythrophleum Jacksonia Millettia Mucuna Senna Sesbania  Sophora Tamarindus/Acacia/Acacia hemignosta 6098.JPG","","","","","","","A","loose photograph","","5472x3648","gallery option","Species named in the filename.","E012-01","1294bc63cf0c567a4138914fab66eeeb16d175e7cbb2d2346488b34b8b17fdc9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","0","Supported loose additions","A wider flowering crown offers context; the other shortlisted files largely repeat the displayed flower and seed-pod subjects.","plant-15c5d8d01bf76fba","5","",""
"Acacia holosericea","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/1 1 1 1 1 BOT GDNS 10.9.2026/Acacia holosericea/P1170193.JPG","/Volumes/Crucial X10/SD/A A A/Acacia holosericea check/P1080532.JPG","","","","","","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail.","E013-03","10edf092e59ed140b1443e718588f1a53718d4045dbc049ebc03e72c15bcb6cd","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail.","E013-06","1088a418d440d1df43b7dc5b50cb4e0aba923c3a0ea45ded0078c1fe30f31268","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","4","0","Supported loose additions","Green developing pods and whole-tree habit add phases and scale beyond the current flowers and ripe pods.","plant-51c084bc45adb6e3","8","",""
"Acacia humifusa","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/D. PLANT DESCRIPTIONS GENERA A-Z/AA/Acacia humifusa/PICK/EXTRA/Acacia humifusa in habitat.3554.GF.jpg","/Volumes/Crucial X10/SD/A A A/Acacia humifusa/SELECT/Acacia humifusa.a.JPG","/Volumes/Crucial X10/SD/A A A/Acacia humifusa/_1070783.JPG","","","","","A","loose photograph","","6000x3179","gallery option","Species named in the filename.","E014-01","fd8ab637d18e27bba7fb911868e2faeccc9682b50c5ee9d5e3f2ccbfd0439b75","A","loose photograph","","1639x1229","gallery option","Species named in the filename.","E014-02","32ce05c11e8f1c897790258fa72d0ad61ad9b95785ecae46ab616bb3021c2022","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","E014-12","8012e8dc9c85acf8fbab42fb68fc57e27886169cb3038f68f216fa4f3505abe5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Low spreading habit and developing pods complement the current flower and mature-pod details. Additional sequence includes dry pod clusters.","plant-c2884ae82aef1387","7","",""
"Acacia kelleri","/Volumes/Crucial X10/SD/# A A COMPLETED/Acacia kelleri/P1030477.JPG","/Volumes/Crucial X10/SD/# A A COMPLETED/Acacia kelleri/P1030479.JPG","","","","","","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail.","E015-01","92e9a5936f27f81b75329db89d0e28401ad94ea80cacd6b57be0a5fc9907a0bb","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail.","E015-02","5765f8d3c093ab6dc9dd825491842488dc58056a491cdb0e41bda440f6a930c9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Pale developing spikes and a less densely flowering branch offer growth-stage context; several golden flowering clusters repeat current coverage.","plant-98be07bcc437de62","7","",""
"Acacia lamprocarpa","/Volumes/Crucial X10/SD/A A A/Acacia lamprocarpa (prev A. aulacocarpa)/Acacia lamprocarpa_1060636.JPG","/Volumes/Crucial X10/SD/A A A/Acacia lamprocarpa (prev A. aulacocarpa)/Acacia lamprocarpa_1060634.JPG","/Volumes/Crucial X10/SD/A A A/Acacia lamprocarpa (prev A. aulacocarpa)/Acacia lamprocarpa_1060635.JPG","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","A","loose photograph","","4000x3000","gallery option","Species named in the filename.","E016-05","3932c5774e04c26f95c53fc3a76ce65182d06ed05611a26b50ea048bbe44a124","A","loose photograph","","4000x3000","gallery option","Species named in the filename.","E016-07","a813bdc2c7b9b1d4ff272bba5b0d2d2198dfac1656bfc0628decdc7ff4327fb5","A","loose photograph","","4000x3000","gallery option","Species named in the filename.","E016-10","48af6a7e22758b8b2f38ed182963c09061d9fde4489fc38e9b59eea9fa37281c","A","book image","PDF page 91; printed page 90; page-object index 1 (zero-based)","566x578","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p91-o1","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","0","Supported loose additions","Whole-tree habit is useful. The older flowering-tree photograph is distinct from the current flower/pod close-ups. Additional named files show opened pods and whole tree habit.","plant-9095709754548d7e","10","",""
"Acacia latescens","/Volumes/Crucial X10/SD/A A A/Acacia latescens/SELECT/PICK/Acacia latescens.762.a.JPG","/Volumes/Crucial X10/SD/A A A/Acacia latescens/SELECT/Acacia latescens 1 Bularriny #IM.jpg","","","","","","A","loose photograph","","3637x2728","gallery option","Species named in the filename.","E017-01","00ad6ff9d740ff84007ec5cff8fabf3e96bbd6f444973dff0b2ce2eb531c2c33","A","loose photograph","","3648x2736","gallery option","Species named in the filename.","E017-02","f9d48a1129ff4514881bbfe1b509fd967e788abae28070a29650abda5a2bd2c8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Drooping whole-plant architecture and a wider flowering specimen add context. Keep separate from the known alleniana/latescens conflict.","plant-cf5bc5fe5d9272ce","12","",""
"Acacia latifolia","/Volumes/Crucial X10/SD/# A A COMPLETED/Acacia latifolia/SELECT/SELECT w spider eating fly/PICK/Acacia latifolia w spider eating fly.070.a.JPG","/Volumes/Crucial X10/SD/# A A COMPLETED/Acacia latifolia/SELECT/SELECT w spider eating fly/Acacia latifolia w spider eating fly.044.a.JPG","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/WILLIE BURGESS Plants of the nt photos/Fabaceae Acacia Erythrina Jacksonia Albizia Bossiaea Caseapinia Cathormion Erythrophleum Jacksonia Millettia Mucuna Senna Sesbania  Sophora Tamarindus/Acacia/Acacia latifolia 1743.JPG","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/WILLIE BURGESS Plants of the nt photos/Fabaceae Acacia Erythrina Jacksonia Albizia Bossiaea Caseapinia Cathormion Erythrophleum Jacksonia Millettia Mucuna Senna Sesbania  Sophora Tamarindus/Acacia/Acacia latifolia 355.JPG","","","","A","loose photograph","","3326x2494","gallery option","Species named in the filename.","E018-03","3c88c39214352b43761ead1ac96d55ab03301e2895ed7a69cf3e4e1930433736","A","loose photograph","","2411x1808","gallery option","Species named in the filename.","E018-04","d18ef78cb8ae68cbc6d7e9993c710f469fe1fa00c9da0b3eb0a8f825a0513e01","A","loose photograph","","4912x3264","gallery option","Species named in the filename.","E018-05","dd60a84c4086b3412bf49caafb053898e80f037e3c2354625322042069703a6a","A","loose photograph","","5472x3648","gallery option","Species named in the filename.","E018-11","7d18969a03f0a8f672a1e2ada5f471f3fca924ec941ff7a0e176715004b6e72d","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Supported loose additions","Flower-associated spider, developing spikes and a wider crown are complementary to the single current flowering branch. Additional named file clearly shows broad phyllode venation.","plant-b20e00f795dd82f9","16","",""
"Acacia leptocarpa","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/D. PLANT DESCRIPTIONS GENERA A-Z/AA/Acacia leptocarpa (Delete 2022 fruit & habit shots)/PICK/EXTRA/Acacia leptocarpa.550.a.JPG","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","","A","loose photograph","","4371x2459","gallery option","Species named in the filename.","E019-01","1a723fcc7257c50601be1d77738cf9031745260ddd9364b1be60a03523bac639","A","book image","PDF page 92; printed page 91; page-object index 1 (zero-based)","567x574","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p92-o1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","0","Supported loose additions","Wider flowering foliage and the older whole-tree view are the useful options. The other loose shoot carries uncertain labels.","plant-a4368c15fb166700","6","",""
"Acacia limbata","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/WILLIE BURGESS Plants of the nt photos/Fabaceae Acacia Erythrina Jacksonia Albizia Bossiaea Caseapinia Cathormion Erythrophleum Jacksonia Millettia Mucuna Senna Sesbania  Sophora Tamarindus/Acacia/Acacia limbata 188.JPG","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/SD/A A A/Acacia limbata/P1150941.JPG","","","","","A","loose photograph","","5472x3648","gallery option","Species named in the filename.","E020-04","eec37b8769a430212c24dfc6cfe83f7f15ff40f13534c7528700fd28bcdf87c3","A","book image","PDF page 93; printed page 92; page-object index 2 (zero-based)","566x577","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p93-o2","","B","loose photograph","","4864x3648","gallery option","Association through the named source folder or historical-name trail.","E020-12","e64d4afef3d3766c77d7bbd6893e17d0c85b7c8dff5fa098f57dc447e8870124","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Supported loose additions","Whole-plant habit and the book's pod inset add more than further flower crops. Additional sequence includes a dry reproductive stage.","plant-88b78234a04a93e0","9","",""
"Acacia linarioides","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/SD/# AA POSS SPECIES TO ADD/#Acacia sp TBC shrub, sim to A. linarioides Gulf 27.6.25/P1050598.JPG","/Volumes/Crucial X10/SD/# AA POSS SPECIES TO ADD/#Acacia sp TBC shrub, sim to A. linarioides Gulf 27.6.25/P1050602.JPG","/Volumes/Crucial X10/SD/# AA POSS SPECIES TO ADD/#Acacia sp TBC shrub, sim to A. linarioides Gulf 27.6.25/P1050603.JPG","","","","A","book image","PDF page 93; printed page 92; page-object index 1 (zero-based)","566x570","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p93-o1","","C","loose photograph","","4864x3648","identification-review lead","Association through the named source folder or historical-name trail; Source explicitly uncertain or a mixed/incorrectly labelled collection.","E021-04","a1f389660350897f00b4769df8694ee9ff6a843d98e2b67dccb0f84a285061ef","C","loose photograph","","4864x3648","identification-review lead","Association through the named source folder or historical-name trail; Source explicitly uncertain or a mixed/incorrectly labelled collection.","E021-05","2fae2ec68a9f30e9180dcd92a4be0d0e442188c767468ed9f7a4d4a5eb54cb3b","C","loose photograph","","4864x3648","identification-review lead","Association through the named source folder or historical-name trail; Source explicitly uncertain or a mixed/incorrectly labelled collection.","E021-07","e8071bb5c8dca5c6b1cb542f8eba24f3c2d54297dc2227d3e123dac532ab75df","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Book addition; loose leads need ID review","Whole shrub and trunk/bark are useful leads, but loose source labels are uncertain. Book includes a small habit inset. Additional sequence includes bark/trunk detail.","plant-1511c1b1dc84b338","5","",""
"Acacia lycopodiifolia","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/SD/A A A/Acacia lycopodifolia/SELECT/_1280371#.JPG","/Volumes/Crucial X10/SD/# A A A A NPNA 2026 NEW PHOTOS/WILLIE BURGESS Plants of the nt photos/Fabaceae Acacia Erythrina Jacksonia Albizia Bossiaea Caseapinia Cathormion Erythrophleum Jacksonia Millettia Mucuna Senna Sesbania  Sophora Tamarindus/Acacia/Acacia lycopodifolia type 3880.JPG","","","","","A","book image","PDF page 94; printed page 93; page-object index 2 (zero-based)","393x575","low-resolution fallback","Photograph positioned with the authored species account in the book proof.","B-p94-o2","","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail; Name spelling, abbreviation or historical combination needs retaining in provenance.","E022-03","cfe9be4f83aa18d7b1c5140d962067c39e71d6a93502c43c96db8c2ba4e342c0","B","loose photograph","","5472x3648","gallery option","Species named in the filename; Name spelling, abbreviation or historical combination needs retaining in provenance.","E022-05","e2ec5574951c994009c3d5b8774041fb4717faa970b6ae2fa6e0c00c7421c8d6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","Supported loose additions","Foliage/developing growth, habit and older red pods offer complementary dimensions. Source uses lycopodifolia spelling; retain the documentary spelling caveat.","plant-4b96952c0a0a990f","11","",""
"Acacia lysiphloia","/Volumes/Crucial X10/HD/# COMPLETE NPNA NEW ED 2026/A. A. PHOTOS AND IMAGES/D. PLANT DESCRIPTIONS GENERA A-Z/AA/Acacia lysiphloia (N)/PICK/EXTRA/Acacia lysiphloia in habitat.447.a.JPG","","","","","","","A","loose photograph","","4672x2628","gallery option","Species named in the filename.","E023-01","e7d4b76e7535dcd83e2f8f67d2b6356390273c6487dc9790928513c8320f6934","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","0","Supported loose additions","A wider crown/habit view complements current flower and bark details; most remaining leads repeat flowers.","plant-34cc4a03b714ace6","6","",""
