"species","candidate_1_path","candidate_2_path","candidate_3_path","candidate_4_path","candidate_5_path","candidate_1_confidence","candidate_1_kind","candidate_1_locator","candidate_1_resolution_px","candidate_1_use","candidate_1_association_basis","candidate_1_inspection_reference","candidate_1_sha256","candidate_2_confidence","candidate_2_kind","candidate_2_locator","candidate_2_resolution_px","candidate_2_use","candidate_2_association_basis","candidate_2_inspection_reference","candidate_2_sha256","candidate_3_confidence","candidate_3_kind","candidate_3_locator","candidate_3_resolution_px","candidate_3_use","candidate_3_association_basis","candidate_3_inspection_reference","candidate_3_sha256","candidate_4_confidence","candidate_4_kind","candidate_4_locator","candidate_4_resolution_px","candidate_4_use","candidate_4_association_basis","candidate_4_inspection_reference","candidate_4_sha256","candidate_5_confidence","candidate_5_kind","candidate_5_locator","candidate_5_resolution_px","candidate_5_use","candidate_5_association_basis","candidate_5_inspection_reference","candidate_5_sha256","current_gallery_entries","current_plant_photographs","current_maps","outcome","review_notes","account_id","source_collection_count","source_quality_recovery_path","source_quality_recovery_locator"
"Evolvulus alsinoides","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","A","book image","PDF page 210; printed page 209; page-object index 1 (zero-based)","566x570","low-resolution fallback: Flowering herb","Photograph positioned with the authored species account in the book proof.","B-p210-o1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Book fallback; no supported loose original found","No confidently associated loose original was located in the named collections or the wider filename/image comparison. The proof preserves a photograph with this species account.","plant-094037a6a72d9c11","0","",""
"Grevillea dunlopii","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","A","book image","PDF page 227; printed page 226; page-object index 2 (zero-based)","566x566","low-resolution fallback: Flowering branch","Photograph positioned with the authored species account in the book proof.","B-p227-o2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Book fallback; no supported loose original found","No confidently associated loose original was located in the named collections or the wider filename/image comparison. The proof preserves a photograph with this species account.","plant-bb59625835b378e8","0","",""
"Grevillea polyacida","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","A","book image","PDF page 231; printed page 230; page-object index 1 (zero-based)","566x566","low-resolution fallback: Flowers and leaves","Photograph positioned with the authored species account in the book proof.","B-p231-o1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Book fallback; no supported loose original found","No confidently associated loose original was located in the named collections or the wider filename/image comparison. The proof preserves a photograph with this species account.","plant-7478d7ccc9fdb334","0","",""
"Hibbertia dealbata","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/SD/H H H/Hibbertia cistifolia TBC, check H. dealbata LNP 9.12.24 & 18.12.24/P1210843.JPG","/Volumes/Crucial X10/SD/H H H/Hibbertia cistifolia TBC, check H. dealbata LNP 9.12.24 & 18.12.24/P1210847.JPG","","","A","book image","PDF page 244; printed page 243; page-object index 2 (zero-based)","566x566","low-resolution fallback: Flowers and leaves","Photograph positioned with the authored species account in the book proof.","B-p244-o2","","C","loose photograph","","4000x3000","identification-review lead","Association through the named source folder or historical-name trail; Name spelling, abbreviation or historical combination needs retaining in provenance; Source explicitly uncertain or a mixed/incorrectly labelled collection.","L154","0fce91febdd9b94b7334151cb037cf2e46571f3846269900a22a3d212c99c0fd","C","loose photograph","","4000x3000","identification-review lead","Association through the named source folder or historical-name trail; Name spelling, abbreviation or historical combination needs retaining in provenance; Source explicitly uncertain or a mixed/incorrectly labelled collection.","L158","c221ed511137418b9ffccb027a515f694ff2d944c9e3de6181204923372c22c4","","","","","","","","","","","","","","","","","0","0","0","Book fallback + uncertain loose leads","Yellow flowers, narrow leaves and whole low shrub are visible, but both directories explicitly say Hibbertia cistifolia TBC, check H. dealbata. Retain as a competing-identification lead. Flower close-up P1210843 and habit P1210847 are complementary; do not resolve species from the similar flower colour.","plant-dc373e820f15679e","2","",""
"Hibbertia fractiflexa subsp. brachyblastis","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FOTOS/Hibbertia fractiflexa subsp. brachyblastis endemic R A Kerrigan.jpg","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","A","loose photograph","","500x451","gallery option","Species named in the filename.","L161","c74ac43819c4db123a27dc17e1bfa20922611c95afe1fbff55857838bd472c2f","A","book image","PDF page 245; printed page 244; page-object index 1 (zero-based)","567x568","low-resolution fallback: Flower and leaves","Photograph positioned with the authored species account in the book proof.","B-p245-o1","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Supported loose photographs + book fallback","Exact full-rank filename names R A Kerrigan. A flower and hairy leaves are visible and this is a different view from the printed photograph. Preserve that credit and verify the source/permission before use; possession of this file does not establish the app's reuse rights.","plant-daee0f7a8f6dba15","1","",""
"Lumnitzera littorea","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","A","book image","PDF page 269; printed page 268; page-object index 2 (zero-based)","567x380","low-resolution fallback: Red flowers","Photograph positioned with the authored species account in the book proof.","B-p269-o2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Book fallback; no supported loose original found","No confidently associated loose original was located in the named collections or the wider filename/image comparison. The proof preserves a photograph with this species account.","plant-4b758bc02531a17f","0","",""
"Melhania oblongifolia","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/SD/M M M/Melhania sp TBC poss oblongifolia Hwd Spr 25.2.25/_1270614.JPG","","","","A","book image","PDF page 280; printed page 279; page-object index 2 (zero-based)","566x570","low-resolution fallback: Flowers and leaves","Photograph positioned with the authored species account in the book proof.","B-p280-o2","","C","loose photograph","","4000x3000","identification-review lead","Association through the named source folder or historical-name trail; Source explicitly uncertain or a mixed/incorrectly labelled collection.","L162","e0be2b3d63720b7cb53b69643ebf06003481e030e9d4a33899c237eec100e215","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Book fallback + uncertain loose leads","Two distinct JPEG exposures are copied into two nearly identical directories, with RAW companions. Both show leafy stems and small buds/fruit, rather than the conspicuous open flowers in the book. Folder says sp TBC poss oblongifolia. Identification remains unresolved.","plant-08e9119a23671c38","2","",""
"Pityrodia lanuginosa","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","A","book image","PDF page 304; printed page 303; page-object index 2 (zero-based)","567x564","low-resolution fallback: Flowers and leaves","Photograph positioned with the authored species account in the book proof.","B-p304-o2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Book fallback; no supported loose original found","No confidently associated loose original was located in the named collections or the wider filename/image comparison. The proof preserves a photograph with this species account.","plant-1adbdbfe7aa98e77","0","",""
"Pogostemon stellatus","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","A","book image","PDF page 307; printed page 306; page-object index 1 (zero-based)","567x569","low-resolution fallback: Whole flowering herb","Photograph positioned with the authored species account in the book proof.","B-p307-o1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Book fallback; no supported loose original found","No confidently associated loose original was located in the named collections or the wider filename/image comparison. The proof preserves a photograph with this species account.","plant-23afe8e812e1e977","0","",""
"Rhizophora apiculata","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","A","book image","PDF page 312; printed page 311; page-object index 5 (zero-based)","567x383","low-resolution fallback: Flowers and leaves","Photograph positioned with the authored species account in the book proof.","B-p312-o5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Book fallback; no supported loose original found","No confidently associated loose original was located in the named collections or the wider filename/image comparison. The proof preserves a photograph with this species account.","plant-bd2fbf83a83b5d60","0","",""
"Solanum asymmetriphyllum","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/SD/EXOTIC OR ID TBC/Solanum sp echinatum TBC (poss asymmetriphyllum), VRD 25.4.25/_1290768.JPG","/Volumes/Crucial X10/SD/EXOTIC OR ID TBC/Solanum sp echinatum TBC (poss asymmetriphyllum), VRD 25.4.25/_1290774.JPG","/Volumes/Crucial X10/SD/EXOTIC OR ID TBC/Solanum sp echinatum TBC (poss asymmetriphyllum), VRD 25.4.25/_1290777.JPG","","A","book image","PDF page 321; printed page 320; page-object index 2 (zero-based)","566x382","low-resolution fallback: Flower, fruit and foliage","Photograph positioned with the authored species account in the book proof.","B-p321-o2","","C","loose photograph","","4000x3000","identification-review lead","Association through the named source folder or historical-name trail; Source explicitly uncertain or a mixed/incorrectly labelled collection.","L166","515fae5ae3806cbc53d80622b33ed470ee46a876b6e463383a390ce3f4421b02","C","loose photograph","","4000x3000","identification-review lead","Association through the named source folder or historical-name trail; Source explicitly uncertain or a mixed/incorrectly labelled collection.","L172","310050252bd3a493790a4e988347b6591af9c7d3f927c49f21ea1f73571eaf0a","C","loose photograph","","4000x3000","identification-review lead","Association through the named source folder or historical-name trail; Source explicitly uncertain or a mixed/incorrectly labelled collection.","L175","ec4d8dd073b4e0857faace4876204ddad2dfa93e7f6308edfc20a27e4049050c","","","","","","","","","0","0","0","Book fallback + uncertain loose leads","Twelve JPEGs with RAW partners in a folder explicitly labelled Solanum sp echinatum TBC (poss asymmetriphyllum). Flower/leaf detail, prickly fruit/calyx and foliage views are useful for an identification review. Do not allocate until the competing name is resolved. Most flower exposures repeat the same view.","plant-22b9ddafbe2abd1c","2","",""
"Terminalia arostrata","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","/Volumes/Crucial X10/SD/T T T/Terminalia arostrata/Terminalia arostrata (nuts) 26.6.25/_1310277.JPG","","","","A","book image","PDF page 334; printed page 333; page-object index 2 (zero-based)","390x567","low-resolution fallback: Foliage","Photograph positioned with the authored species account in the book proof.","B-p334-o2","","B","loose photograph","","4000x3000","gallery option","Association through the named source folder or historical-name trail.","L178","fffab2abef0e1e3c6195896489f363317c4061e298cd7de4961a5b69cc1fd585","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Supported loose photographs + book fallback","Four JPEGs and four RAW files show the same arranged group of dry nuts on the ground. Strong species-folder association but no attached leaf/branch voucher visible. Select one, preferably _1310277, to complement the book's foliage image; do not count four as four different gallery subjects.","plant-3439591df5e65edc","1","",""
"Xerochrysum borealis","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","A","book image","PDF page 358; printed page 357; page-object index 1 (zero-based)","566x573","low-resolution fallback: Flowering herb","Photograph positioned with the authored species account in the book proof.","B-p358-o1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Book fallback; no supported loose original found","One photograph copied twice, labelled Xerochrysum sp 3 Fraser Is IM; its folder explicitly says TBC prob not in NT. The broader parent uses boreale / former Helichrysum bracteatum, but that does not establish this photograph's taxon. Keep as a rejected-for-now lead, not an available account image; the book photograph is the defensible recovery option.","plant-11757202d24dd423","1","",""
"Zornia prostrata","/Volumes/Crucial X10/HD/AA NATIVE PLANTS OF NA 2021/FINAL FULL DRAFT/PROOF Native Plants of N Australia-PDF.pdf","","","","","A","book image","PDF page 360; printed page 359; page-object index 1 (zero-based)","566x566","low-resolution fallback: Prostrate flowering plant","Photograph positioned with the authored species account in the book proof.","B-p360-o1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","Book fallback; no supported loose original found","No confidently associated loose original was located in the named collections or the wider filename/image comparison. The proof preserves a photograph with this species account.","plant-5a696f854b4f436f","0","",""
